source,live_url,title,date,tier,decision,target_url,note
open_science/site_tool.qmd,/open_science/site_tool.html,SiteTool,2026-04-14,output,keep,,Has an app
open_science/minimum_data_standard.qmd,/open_science/minimum_data_standard.html,A minimum data standard for wildlife disease research and surveillance,2025-06-21,output,keep,,
policy/one_health_trial_design.qmd,/policy/one_health_trial_design.html,A One Health trial design to accelerate Lassa fever vaccines,2025-09-24,output,keep,,Nature Medicine; drop the Forthcoming tag
policy/transmissible_vaccines.qmd,/policy/transmissible_vaccines.html,Developing transmissible vaccines for animal infections,2025-02-28,output,keep,,Science
policy/bon_framework.qmd,/policy/bon_framework.html,A protocol for biodiversity-informed wildlife disease surveillance,2025-10-01,output,keep,,
policy/ecdc_elearning.qmd,/policy/ecdc_elearning.html,E-learning module for the ECDC,2025-09-24,output,merge,/consultancy.html,One paragraph on the consultancy page
covid_19.qmd,/covid_19.html,COVID-19,,archive,merge,/outbreak_response.html,New single past-tense page covering COVID-19 and mpox response work 2020 to 2022
covid/covid_clinical.qmd,/covid/covid_clinical.html,Clinical response to COVID-19,2022-11-01,archive,merge,/outbreak_response.html,One list entry
covid/covid_modelling.qmd,/covid/covid_modelling.html,Modelling COVID-19 transmission and control strategies,2022-11-01,archive,merge,/outbreak_response.html,One list entry
covid/covid_smoking.qmd,/covid/covid_smoking.html,Smoking and COVID-19,2022-11-01,archive,merge,/outbreak_response.html,One list entry; living review versions collapse to one
covid/covid_transmission.qmd,/covid/covid_transmission.html,International transmission of a newly emerging pathogen,2022-11-01,archive,merge,/outbreak_response.html,One list entry
covid/omicron.qmd,/covid/omicron.html,Response to the emerging Omicron variant,2022-11-01,archive,merge,/outbreak_response.html,One list entry; UKHSA work also on About
covid/sickle_cell.qmd,/covid/sickle_cell.html,Sickle cell disease and COVID-19,2022-11-01,archive,merge,/outbreak_response.html,One list entry
monkeypox.qmd,/monkeypox.html,mpox,,archive,merge,/outbreak_response.html,
monkeypox/community_transmission.qmd,/monkeypox/community_transmission.html,Community transmission of monkeypox in the United Kingdom,2022-06-02,archive,merge,/outbreak_response.html,One list entry
monkeypox/monkeypox_emergence.qmd,/monkeypox/monkeypox_emergence.html,Increased outbreaks of monkeypox highlight gaps in disease burden,2022-05-28,archive,merge,/outbreak_response.html,One list entry; mpox host table moves here or to the publications data
amr.qmd,/amr.html,Antimicrobial Resistance,,archive,merge,/others.html,No leaf pages exist; one paragraph on the earlier-work page
others.qmd,/others.html,Other work,,archive,keep,,Retitle as Earlier work; short paragraph per topic instead of leaf pages
others/asf.qmd,/others/asf.html,Modelling range expansion of African swine fever,2022-11-01,archive,merge,/others.html,In preparation since 2022; keep the framework figure if worth it
others/digital_health.qmd,/others/digital_health.html,Digital healthcare interventions for sustained behaviour change,2022-10-01,archive,merge,/others.html,
others/pprv.qmd,/others/pprv.html,Sensitivity and specificity of assays for peste des petits ruminants,2022-11-01,archive,merge,/others.html,In preparation since 2022
